NAME,TEAM,SITE,POSITION,PASS_YARDS,PASS_TD,INTERCEPTIONS,RUSH_YARDS,RUSH_TD,REC_YARDS,REC_TD,FUM_TD,TWO_PT,FUM_LOST
Virgil Green,LAC,ESPN.com,TE,0,0,0,0,0,332.8,3.1,0,0,0
Sam Darnold,NYJ,ESPN.com,QB,1485.5,7,5.8,49,0.5,0,0,0,0,0
Luke Willson,DET,ESPN.com,TE,0,0,0,0,0,355.3,2.5,0,0,0
Doug Martin,OAK,ESPN.com,RB,0,0,0,333.5,2.5,131.5,0.5,0,0,0
Jake Butt,DEN,ESPN.com,TE,0,0,0,0,0,324.5,2.4,0,0,0
Chris Ivory,BUF,ESPN.com,RB,0,0,0,349.8,3.3,89,0.3,0,0,0
Geronimo Allison,GB,ESPN.com,WR,0,0,0,0,0,341.4,2.7,0,0,0
Charles Sims,TB,ESPN.com,RB,0,0,0,110.2,0.6,257.6,1,0,0,0
Carlos Henderson,DEN,ESPN.com,WR,0,0,0,0,0,357.1,1.9,0,0,0
Jeremy Kerley,BUF,ESPN.com,WR,0,0,0,0,0,342.4,1.2,0,0,0
Chester Rogers,IND,ESPN.com,WR,0,0,0,23.3,0.1,326.6,2.1,0,0,0
Jordan Wilkins,IND,ESPN.com,RB,0,0,0,392.3,2.4,80.2,0.3,0,0,0
Josh Allen,BUF,ESPN.com,QB,1336.5,6.3,7.2,59,0.6,0,0,0,0,0
Nick Vannett,SEA,ESPN.com,TE,0,0,0,0,0,278.8,2.9,0,0,0
Tavon Austin,DAL,ESPN.com,RB,0,0,0,135.3,1,192.7,1.1,0,0,0
Vernon Davis,WSH,ESPN.com,TE,0,0,0,0,0,320.1,2.1,0,0,0
Rico Gathers,DAL,ESPN.com,TE,0,0,0,0,0,279.1,2.2,0,0,0
Chris Carson,SEA,ESPN.com,RB,0,0,0,335.1,1.9,89.6,0.5,0,0,0
Keke Coutee,HOU,ESPN.com,WR,0,0,0,0,0,298.4,1.7,0,0,0
Jonathan Stewart,NYG,ESPN.com,RB,0,0,0,349.6,2.4,65.5,0.2,0,0,0
D.J. Chark,JAX,ESPN.com,WR,0,0,0,0,0,319.4,1.7,0,0,0
Mark Andrews,BAL,ESPN.com,TE,0,0,0,0,0,272.7,1.8,0,0,0
Roger Lewis,NYG,ESPN.com,WR,0,0,0,0,0,288.6,1.8,0,0,0
Baker Mayfield,CLE,ESPN.com,QB,980.9,5.8,3.7,56.6,0.5,0,0,0,0,0
Peyton Barber,TB,ESPN.com,RB,0,0,0,391.4,2.4,34.4,0.1,0,0,0
Corey Coleman,CLE,ESPN.com,WR,0,0,0,0,0,275.4,2.1,0,0,0
Braedon Bowman,LAC,ESPN.com,TE,0,0,0,0,0,239.4,2.4,0,0,0
Ed Dickson,SEA,ESPN.com,TE,0,0,0,0,0,250.2,2.1,0,0,0
Adam Shaheen,CHI,ESPN.com,TE,0,0,0,0,0,243.7,2.1,0,0,0
Michael Roberts,DET,ESPN.com,TE,0,0,0,0,0,236,2.2,0,0,0
Chase Edmonds,ARI,ESPN.com,RB,0,0,0,222.8,1.6,103.1,0.4,0,0,0
DeAndre Washington,OAK,ESPN.com,RB,0,0,0,131,0.7,153.2,0.6,0,0,0
Jermaine Gresham,ARI,ESPN.com,TE,0,0,0,0,0,235.2,1.5,0,0,0
Amara Darboh,SEA,ESPN.com,WR,0,0,0,0,0,254.4,1.9,0,0,0
Deon Cain,IND,ESPN.com,WR,0,0,0,0,0,256.7,1.9,0,0,0
John Kelly,LAR,ESPN.com,RB,0,0,0,279.1,2.2,64.8,0.2,0,0,0
Tyler Kroft,CIN,ESPN.com,TE,0,0,0,0,0,224.6,1.9,0,0,0
Courtland Sutton,DEN,ESPN.com,WR,0,0,0,0,0,264.3,1.5,0,0,0
Corey Grant,JAX,ESPN.com,RB,0,0,0,165.5,1.1,126.2,0.4,0,0,0
Garrett Celek,SF,ESPN.com,TE,0,0,0,0,0,237.4,1.8,0,0,0
Spencer Ware,KC,ESPN.com,RB,0,0,0,242.8,2,69.5,0.3,0,0,0
Jordan Leggett,NYJ,ESPN.com,TE,0,0,0,0,0,220.2,1.4,0,0,0
Tyler Higbee,LAR,ESPN.com,TE,0,0,0,0,0,212.4,1.9,0,0,0
Blake Jarwin,DAL,ESPN.com,TE,0,0,0,0,0,209.4,1.7,0,0,0
Jesse James,PIT,ESPN.com,TE,0,0,0,0,0,191.3,1.9,0,0,0
Brice Butler,ARI,ESPN.com,WR,0,0,0,0,0,241.5,1.6,0,0,0
Ryan Fitzpatrick,TB,ESPN.com,QB,826.3,4.6,3.7,43.7,0.3,0,0,0,0,0
Jonnu Smith,TEN,ESPN.com,TE,0,0,0,0,0,195.3,1.7,0,0,0
Dallas Goedert,PHI,ESPN.com,TE,0,0,0,0,0,197.8,1.8,0,0,0
Dante Pettis,SF,ESPN.com,WR,0,0,0,0,0,217.4,1.2,0,0,0
TJ Jones,DET,ESPN.com,WR,0,0,0,0,0,223.5,1.3,0,0,0
Travaris Cadet,BUF,ESPN.com,RB,0,0,0,160.1,1.1,97.8,0.3,0,0,0
C.J. Prosise,SEA,ESPN.com,RB,0,0,0,65.4,0.4,154.8,0.6,0,0,0
De'Angelo Henderson,DEN,ESPN.com,RB,0,0,0,194.4,1.1,69.5,0.3,0,0,0
Keelan Cole,JAX,ESPN.com,WR,0,0,0,0,0,224.3,1,0,0,0
Chris Conley,KC,ESPN.com,WR,0,0,0,0,0,192.3,1.2,0,0,0
Joe Williams,SF,ESPN.com,RB,0,0,0,153.2,1.6,71.5,0.3,0,0,0
Jaron Brown,SEA,ESPN.com,WR,0,0,0,0,0,189.2,1.6,0,0,0
Josh Reynolds,LAR,ESPN.com,WR,0,0,0,38.2,0.2,135,1.5,0,0,0
Demetrius Harris,KC,ESPN.com,TE,0,0,0,0,0,154,1.5,0,0,0
Jeff Heuerman,DEN,ESPN.com,TE,0,0,0,0,0,182.9,1,0,0,0
